subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,89,5," her,",8,589,644,589.0,644.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,90,8, radiant,8,644,732,644.0,732.0,860.0,3.0,0.0,0.0,605.0,0.0,288.0,424.0,860.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,91,7, beside,8,732,809,732.0,809.0,424.0,1.0,0.0,0.0,605.0,0.0,424.0,300.0,424.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,92,4, him,8,809,853,809.0,853.0,300.0,1.0,0.0,0.0,605.0,0.0,300.0,308.0,300.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,93,4, and,8,853,897,853.0,897.0,308.0,1.0,0.0,0.0,605.0,3.0,308.0,156.0,308.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,94,6," said,",8,897,963,897.0,963.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,95,7," ""Maybe",8,963,1040,963.0,1051.0,156.0,1.0,0.0,0.0,605.0,1.0,156.0,164.0,156.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,96,9,"tomorrow,",9,215,314,204.0,314.0,128.0,1.0,0.0,0.0,605.0,2.0,128.0,324.0,128.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,97,6, dear.,9,314,380,314.0,380.0,324.0,1.0,0.0,0.0,605.0,0.0,324.0,364.0,324.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,98,6, Maybe,9,380,446,380.0,446.0,364.0,1.0,0.0,0.0,605.0,2.0,364.0,280.0,364.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,99,11," tomorrow.""",9,446,567,446.0,578.0,420.0,2.0,0.0,0.0,605.0,2.0,280.0,,420.0,0.0,0.0,605.0,,
